t_ms,VA,VB,spA_s,spB_s,dir
266013,1.779,1.761,0.00,0.00,.
267014,1.728,1.725,0.00,0.00,.
268015,1.725,1.728,0.00,0.00,.
269016,1.727,1.728,0.00,0.00,.
270010,1.733,1.735,2.00,2.00,R
271011,1.857,1.916,0.00,1.00,.
272012,1.879,1.831,2.00,1.00,L
273013,1.729,1.728,2.00,2.00,R
274014,1.729,1.729,2.00,2.00,L
275015,1.727,1.728,2.00,2.00,R
276016,1.740,1.737,2.00,2.00,L
277010,1.730,1.731,2.00,2.00,R
278011,1.736,1.735,2.00,2.00,L
279012,2.004,2.005,1.00,1.00,R
280013,1.727,1.727,1.00,1.00,R
281014,1.729,1.729,2.00,2.00,L
282015,1.732,1.729,2.00,2.00,R
283016,1.729,1.728,2.00,2.00,L
284010,1.727,1.728,2.00,2.00,R
285011,1.728,1.726,2.00,2.00,L
286012,2.006,2.003,1.00,1.00,R
287013,1.774,1.747,3.00,3.00,L
288014,2.007,2.004,1.00,1.00,R
289015,2.004,2.007,2.00,2.00,L
290016,2.003,2.003,4.00,5.00,R
291010,2.008,2.007,2.00,2.00,L
292011,1.727,1.727,1.00,1.00,L
293012,1.725,1.728,0.00,0.00,.
294013,1.727,1.728,0.00,0.00,.
295014,1.727,1.727,0.00,0.00,.
296015,1.726,1.726,0.00,0.00,.
297016,1.727,1.726,0.00,0.00,.
298010,1.726,1.727,0.00,0.00,.
