t_ms,VA,VB,spA_s,spB_s,dir
69011,2.014,2.011,0.00,0.00,.
70012,2.011,2.011,0.00,0.00,.
71013,2.011,2.012,0.00,0.00,.
72014,2.013,2.013,0.00,0.00,.
73015,2.012,2.011,0.00,0.00,.
74016,2.011,2.011,0.00,0.00,.
75010,2.012,2.012,0.00,0.00,.
76011,2.012,2.013,0.00,0.00,.
77012,2.012,2.012,0.00,0.00,.
78013,2.014,2.014,0.00,0.00,.
79014,2.016,2.013,0.00,0.00,.
80015,2.014,2.011,0.00,0.00,.
81016,2.013,2.011,0.00,0.00,.
82010,2.013,2.011,0.00,0.00,.
83011,2.012,2.011,0.00,0.00,.
84012,2.012,2.010,0.00,0.00,.
85013,2.012,2.012,0.00,0.00,.
86014,2.013,2.014,0.00,0.00,.
87015,2.011,2.012,0.00,0.00,.
88016,2.014,2.013,0.00,0.00,.
89010,2.013,2.013,0.00,0.00,.
90011,2.015,2.013,0.00,0.00,.
91012,2.014,2.011,0.00,0.00,.
92013,2.011,2.011,0.00,0.00,.
93014,2.012,2.012,0.00,0.00,.
94015,2.011,2.012,0.00,0.00,.
95016,2.011,2.012,0.00,0.00,.
96010,2.012,2.011,0.00,0.00,.
97011,2.012,2.011,0.00,0.00,.
98012,2.014,2.012,0.00,0.00,.
99013,2.013,2.014,0.00,0.00,.
100014,2.013,2.014,0.00,0.00,.
101015,2.014,2.011,0.00,0.00,.
