t_ms,VA,VB,spA_s,spB_s,dir
535016,1.731,1.732,0.00,0.00,.
536010,1.733,1.733,0.00,0.00,.
537011,1.733,1.732,0.00,0.00,.
538012,1.731,1.731,0.00,0.00,.
539013,1.732,1.732,0.00,0.00,.
540014,1.732,1.731,0.00,0.00,.
541015,1.732,1.731,0.00,0.00,.
542016,1.730,1.731,0.00,0.00,.
543010,1.733,1.732,0.00,0.00,.
544011,1.732,1.732,0.00,0.00,.
545012,1.733,1.733,0.00,0.00,.
546013,1.732,1.730,0.00,0.00,.
547014,1.732,1.733,0.00,0.00,.
548015,1.733,1.733,0.00,0.00,.
549016,1.730,1.731,0.00,0.00,.
550010,1.739,1.736,0.00,0.00,.
551011,1.731,1.732,0.00,0.00,.
552012,1.733,1.733,0.00,0.00,.
553013,1.733,1.733,0.00,0.00,.
554014,1.732,1.732,0.00,0.00,.
555015,1.732,1.733,0.00,0.00,.
556016,1.732,1.732,0.00,0.00,.
557010,1.733,1.733,0.00,0.00,.
558011,1.731,1.733,0.00,0.00,.
559012,1.732,1.733,0.00,0.00,.
560013,1.733,1.731,0.00,0.00,.
561014,1.731,1.732,0.00,0.00,.
562015,1.733,1.733,0.00,0.00,.
563016,1.733,1.731,0.00,0.00,.
564010,1.733,1.733,0.00,0.00,.
565011,1.733,1.733,0.00,0.00,.
566012,1.733,1.733,0.00,0.00,.
567013,1.732,1.733,0.00,0.00,.
